componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"INTRODUÇÃO A ENGENHARIA QUIMICA","EQUI0117","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 09:00h-10:50h SALA DE AULA - DID 1 - 012","2023","1","05/06/2023","21/10/2023","ROGERIO LUZ PAGANO","3M34","17","50","46","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"MODELAGEM E SIMULAÇÃO DE PROCESSOS","EQUI0120","TURMA 01A","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 15:00h-16:50h SALA DE AULA - DID 6 - 018<br/>5 - 15:00h-16:50h DEQ - LAB MODELAGEM E SIMULAÇÃO DE PROCESSOS QUÍMICOS - 009","2023","1","05/06/2023","21/10/2023","ROGERIO LUZ PAGANO","35T34","12","15","14","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"CLINICA ODONTOLOGICA INTEGRADA I","ODON0093","TURMA 01","CAMPUS UNIVERSITÁRIO PROF. JOÃO CARDOSO NASCIMENTO JUNIOR","LOCAL A DEFINIR","2023","1","05/06/2023","21/10/2023","CARLOS NEANES SANTOS, ADRIANO AUGUSTO MELO DE MENDONCA, JOSÉ MIRABEAU DE OLIVEIRA RAMOS, ALAIDE HERMINIA DE AGUIAR OLIVEIRA, MONICA BARBOSA LEAL MACEDO, MONICA SILVEIRA PAIXAO, MARIA AMALIA GONZAGA RIBEIRO, MARGARETE APARECIDA MENESES DE ALMEIDA, GUILHERME DE OLIVEIRA MACEDO, FABIO MARTINS","2345M12345 6M1234",,"20","11","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"INSTRUMENTAÇÃO E CONTROLE DE PROCESSOS","EQUI0119","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 11:00h-12:50h SALA DE AULA - DID 3 - 010<br/>4 - 11:00h-12:50h SALA DE AULA - DID 3 - 008","2023","1","05/06/2023","21/10/2023","RODOLPHO RODRIGUES FONSECA","24M56","19","50","19","REGULAR","13/10/2023","CONSOLIDADA","PRESENCIAL"
"CLINICA ODONTOLOGICA INTEGRADA II","ODON0094","TURMA 01","CAMPUS UNIVERSITÁRIO PROF. JOÃO CARDOSO NASCIMENTO JUNIOR","LOCAL A DEFINIR","2023","1","05/06/2023","21/10/2023","ALAIDE HERMINIA DE AGUIAR OLIVEIRA, CLEVERSON LUCIANO TRENTO, CARLOS NEANES SANTOS, FLAVIA PARDO SALATA NAHSAN, MONICA SILVEIRA PAIXAO, HÉLIO IGOR MELO DE ALBUQUERQUE, MARIA HELENA RIBEIRO, RAFAEL SOARES DA CUNHA","2356T12345 4T1234",,"11","10","REGULAR","09/10/2023","CONSOLIDADA","PRESENCIAL"
"PLANEJAMENTO E ANÁLISE DE PROJETOS","EQUI0121","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 11:00h-12:50h SALA DE AULA - DID 3 - 007<br/>5 - 11:00h-12:50h SALA DE AULA - DID 3 - 005","2023","1","05/06/2023","21/10/2023","RODOLPHO RODRIGUES FONSECA","35M56","21","50","19","REGULAR","13/10/2023","CONSOLIDADA","PRESENCIAL"
"TOPICOS ESPECIAIS EM PROCESSOS QUIMICOS","EQUI0220","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 15:00h-16:50h SALA DE AULA - DID 1 - 005<br/>4 - 15:00h-16:50h SALA DE AULA - DID 3 - 009","2023","1","05/06/2023","21/10/2023","RODOLPHO RODRIGUES FONSECA, ROGERIO LUZ PAGANO","24T34","8","30","8","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"BIOENGENHARIA","EQUI0104","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 09:00h-10:50h SALA DE AULA - DID 5 - 111<br/>4 - 09:00h-10:50h SALA DE AULA - DID 6 - 107","2023","1","05/06/2023","21/10/2023","CRISTINA FERRAZ SILVA","24M34","29","50","28","REGULAR","21/10/2023","CONSOLIDADA","PRESENCIAL"
"BIOQUÍMICA INDUSTRIAL","EQUI0103","TURMA 01A","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 11:00h-12:50h SALA DE AULA - DID 4 - 113<br/>3 - 13:00h-14:50h DEQ - LAB DE BIOQUIMICA INDUSTRIAL - 010","2023","1","05/06/2023","21/10/2023","CRISTINA FERRAZ SILVA","2M56  3T12","11","15","11","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"ESTÁGIO SUPERVISIONADO EM ENGENHARIA QUÍMICA","EQUI0146","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2023","1","05/06/2023","21/10/2023","JOAO BAPTISTA SEVERO JUNIOR","7M123456  7T123456  56N1234","2","15","6","REGULAR","12/12/2023","CONSOLIDADA","PRESENCIAL"
"ESTÁGIO SUPERVISIONADO EM QUÍMICA INDUSTRIAL","EQUI0147","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2023","1","05/06/2023","21/10/2023","ALEX BARRETO MACHADO","7M123456  7T123456  56N1234",,"15","4","REGULAR","22/01/2024","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM PSICOLOGIA CLÍNICA","PSIC0188","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 09:00h-12:50h SALA DE AULA - DID 1 - 007","2023","1","05/06/2023","21/10/2023","ELDER CERQUEIRA SANTOS","2M3456","45","40","43","REGULAR","19/10/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM PSICOLOGIA CLÍNICA","PSIC0189","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 09:00h-12:50h SALA DE AULA DID 1 - 112","2023","1","05/06/2023","21/10/2023","ROGERIO DA SILVA PAES HENRIQUES","3M3456","39","40","38","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM PSICOLOGIA CLÍNICA","PSIC0219","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 09:00h-12:50h SALA DE AULA - DID 6 - 111","2023","1","05/06/2023","21/10/2023","ANDRE FARO SANTOS","3M3456","76","40","48","REGULAR","12/10/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM PSICOLOGIA SOCIAL E INSTITUCIONAL","PSIC0208","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 15:00h-18:50h SALA DE AULA - DID 5 - 008","2023","1","05/06/2023","21/10/2023","MARCUS EUGENIO OLIVEIRA LIMA","6T3456","32","40","30","REGULAR","24/10/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM PSICOLOGIA GERAL TEORIAS E SISTEMAS","PSIC0159","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 18:50h-20:30h SALA DE AULA - DID 3 - 010<br/>4 - 18:50h-20:30h SALA DE AULA - DID 3 - 014","2023","1","05/06/2023","21/10/2023","HECTOR JULIAN TEJADA HERRERA","24N12","20","40","22","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"INTRODUCAO A FILOSOFIA","FILO0018","TURMA 28","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 17:00h-18:50h SALA DE AULA - DID 4 - 114<br/>5 - 17:00h-18:50h SALA DE AULA  - DID 5 - 001","2023","1","05/06/2023","21/10/2023","MATHEUS HIDALGO","35T56","24","50","51","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"ODONTOPEDIATRIA II","ODON0092","TURMA 01","CAMPUS UNIVERSITÁRIO PROF. JOÃO CARDOSO NASCIMENTO JUNIOR","LOCAL A DEFINIR","2023","1","05/06/2023","21/10/2023","GISELE PEDROSO MOI, WALTER PINHEIRO NORONHA, RAQUEL SOUZA DOS SANTOS MARQUES","2M2345  6T2345","11","11","10","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"PATOLOGIA BUCAL","ODON0089","TURMA 01A","CAMPUS UNIVERSITÁRIO PROF. JOÃO CARDOSO NASCIMENTO JUNIOR","LOCAL A DEFINIR","2023","1","05/06/2023","21/10/2023","MELKA COELHO SA","5M23  2T23","11","11","11","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"PATOLOGIA BUCAL","ODON0089","TURMA 01B","CAMPUS UNIVERSITÁRIO PROF. JOÃO CARDOSO NASCIMENTO JUNIOR","LOCAL A DEFINIR","2023","1","05/06/2023","21/10/2023","MELKA COELHO SA","5M45  2T23","15","12","12","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"INSTRUMENTAÇÃO PARA O ENSINO DE FÍSICA II","FISI0144","TURMA 7B","NÃO INFORMADO","Poço Verde/SE","2023","1","25/03/2023","18/08/2023","LAELIA PUMILLA BOTELHO CAMPOS DOS SANTOS","7T56",,,"2","REGULAR","22/08/2023","CONSOLIDADA","A DISTÂNCIA"
"TÓPICOS ESPECIAIS EM AUTOMAÇÃO E CONTROLE (CONTROLE DIGITAL)","ELET0222","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 13:00h-14:50h SALA DE AULA - DID 5 - 011<br/>5 - 13:00h-14:50h SALA DE AULA - DID 5 - 008","2023","1","05/06/2023","21/10/2023","OSCAR ALBERTO ZANABRIA SOTOMAYOR","35T12","7","20","7","REGULAR","25/10/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM ENGENHARIA ELETRÔNICA (MODELOS ESTOCÁSTICOS)","ELET0223","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2023","1","05/06/2023","21/10/2023","JUGURTA ROSA MONTALVAO FILHO","24T34","4","20","5","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"INTRODUCAO A METODOLOGIA CIENTIFICA","FILO0036","TURMA 04","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 20:40h-22:20h SALA DE AULA - DID 6 - 002<br/>6 - 18:50h-20:30h SALA DE AULA - DID 6 - 004","2023","1","05/06/2023","21/10/2023","MARCOS ROBERTO SANTOS PEREIRA","2N34 6N12","23","50","49","REGULAR","22/10/2023","CONSOLIDADA","PRESENCIAL"
"INTRODUCAO A METODOLOGIA CIENTIFICA","FILO0036","TURMA 05","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 15:00h-16:50h SALA DE AULA - DID 6 - 002<br/>6 - 15:00h-16:50h SALA DE AULA - DID 6 - 004","2023","1","05/06/2023","21/10/2023","MARCOS ROBERTO SANTOS PEREIRA","26T34","15","55","47","REGULAR","22/10/2023","CONSOLIDADA","PRESENCIAL"
"ODONTOLOGIA SOCIAL II","ODON0071","TURMA 01","CAMPUS UNIVERSITÁRIO PROF. JOÃO CARDOSO NASCIMENTO JUNIOR","LOCAL A DEFINIR","2023","1","05/06/2023","21/10/2023","REGIANE CRISTINA DO AMARAL","6M1234","23","22","22","REGULAR","06/10/2023","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DE PESQUISA APLICADA À ENGENHARIA","EPROD0062","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 15:00h-16:50h SALA DE AULA - DID 6 - 111<br/>5 - 15:00h-16:50h SALA DE AULA - DID 3 - 116","2023","1","05/06/2023","21/10/2023","ISABELLY PEREIRA DA SILVA","35T34","10","25","10","REGULAR","11/10/2023","CONSOLIDADA","PRESENCIAL"
"MÉTODOS E TÉCNICAS DE PESQUISA EM AUDIOVISUAL","COMSO0316","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 13:00h-16:50h SALA DE AULA - DID 3 - 007","2023","1","05/06/2023","21/10/2023","KARLIANE MACEDO NUNES","6T1234","36","20","0","REGULAR",,"ABERTA","PRESENCIAL"
"CINEMA BRASILEIRO","COMSO0269","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","5 - 13:00h-16:50h SALA DE AULA - DID 4 - 107","2023","1","05/06/2023","14/10/2023","KARLIANE MACEDO NUNES","5T1234","31","20","0","REGULAR",,"CANCELADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM PSICOLOGIA CLÍNICA","PSIC0160","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 15:00h-16:50h SALA DE AULA - DID 4 - 102<br/>4 - 13:00h-14:50h SALA DE AULA - DID 4 - 008","2023","1","05/06/2023","21/10/2023","HECTOR JULIAN TEJADA HERRERA","2T34 4T12","2","50","49","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM ECOSSISTEMAS AQUÁTICOS I","PESCA0051","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 15:00h-16:50h SALA DE AULA - DID 6 - 016","2023","1","05/06/2023","21/10/2023","PRISCILLA TEIXEIRA CAMPOS","4T34","17","10","10","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"INTRODUCAO A PSICOLOGIA","PSIC0064","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 15:00h-16:50h SALA DE AULA - DID 4 - 111<br/>5 - 15:00h-16:50h SALA DE AULA - DID 4 - 111","2023","1","05/06/2023","21/10/2023","BRUNO MARTINS MACHADO, FREDERICO LEAO PINHEIRO","35T34","39","58","58","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"OBSERVACAO EM PSICOLOGIA","PSIC0077","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 13:00h-14:50h SALA DE AULA - DID 4 - 109<br/>5 - 13:00h-14:50h SALA DE AULA - DID 4 - 109","2023","1","05/06/2023","21/10/2023","BRUNO CERQUEIRA GAMA","35T12","21","50","50","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"ECOSSISTEMAS I","AGROS0074.3","TURMA 01","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 21<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 21","2023","1","30/06/2023","17/08/2023","CAMILA SANTOS ALMEIDA PEREIRA","3T1234 5T12345 6T123","14","20","15","REGULAR","14/03/2024","CONSOLIDADA","PRESENCIAL"
"ECOSSISTEMAS I","AGROS0074.3","TURMA 02","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 15<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 15","2023","1","30/06/2023","17/08/2023","FABIANO BRANCO ROCHA","3T1234 5T12345 6T123","23","20","15","REGULAR","04/12/2023","CONSOLIDADA","PRESENCIAL"
"ECOSSISTEMAS I","AGROS0074.3","TURMA 03","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 17<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 18","2023","1","30/06/2023","17/08/2023","MAIANA REIS PIMENTA","3T1234 5T12345 6T123","2","20","0","REGULAR",,"CANCELADA","PRESENCIAL"
"CIENCIAS DO SOLO","AGROS0074.0","TURMA 01","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 15<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 05","2023","1","18/08/2023","05/10/2023","TIAGO BARRETO GARCEZ","3T1234 5T12345 6T123","22","20","14","REGULAR","16/11/2023","CONSOLIDADA","PRESENCIAL"
"CIENCIAS DO SOLO","AGROS0074.0","TURMA 02","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 12<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 12","2023","1","18/08/2023","05/10/2023","LUCAS RESMINI SARTOR","3T1234 5T12345 6T123","34","20","14","REGULAR","08/11/2023","CONSOLIDADA","PRESENCIAL"
"CIENCIAS DO SOLO","AGROS0074.0","TURMA 03","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 17<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 17","2023","1","18/08/2023","05/10/2023","GUSTAVO HUGO FERREIRA DE OLIVEIRA","3T1234 5T12345 6T123","0","20","14","REGULAR","24/10/2023","CONSOLIDADA","PRESENCIAL"
"EVOLUÇÃO VEGETAL","AGROS0074.1","TURMA 01","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 18<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 18","2023","1","06/10/2023","07/12/2023","MAIANA REIS PIMENTA","3T1234 5T12345 6T123","19","20","0","REGULAR",,"CANCELADA","PRESENCIAL"
"EVOLUÇÃO VEGETAL","AGROS0074.1","TURMA 02","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 15<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 15","2023","1","06/10/2023","07/12/2023","CAMILA SANTOS ALMEIDA PEREIRA","3T1234 5T12345 6T123","13","20","17","REGULAR","14/03/2024","CONSOLIDADA","PRESENCIAL"
"EVOLUÇÃO VEGETAL","AGROS0074.1","TURMA 03","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 17<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 17","2023","1","06/10/2023","07/12/2023","NILSON RODRIGUES DA SILVA","3T1234 5T12345 6T123","11","20","17","REGULAR","11/03/2024","CONSOLIDADA","PRESENCIAL"
"DEFESA VEGETAL","AGROS0074.2","TURMA 01","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 15<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 15","2023","1","08/12/2023","29/02/2024","FABIANO BRANCO ROCHA","3T1234 5T12345 6T123","29","20","11","REGULAR","12/03/2024","CONSOLIDADA","PRESENCIAL"
"DEFESA VEGETAL","AGROS0074.2","TURMA 02","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 19<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 20","2023","1","08/12/2023","29/02/2024","NILSON RODRIGUES DA SILVA","3T1234 5T12345 6T123","1","20","10","REGULAR","11/03/2024","CONSOLIDADA","PRESENCIAL"
"DEFESA VEGETAL","AGROS0074.2","TURMA 03","CAMPUS DO SERTÃO","3 - 13:00h-17:00h Local a definir<br/>5 - 13:00h-15:00h Local a definir<br/>5 - 15:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 17<br/>6 - 13:00h-16:00h CAMPUSSER/SEDE GLÓRIA - SALA 17","2023","1","08/12/2023","29/02/2024","CAMILA SANTOS ALMEIDA PEREIRA","3T1234 5T12345 6T123","10","20","10","REGULAR","14/03/2024","CONSOLIDADA","PRESENCIAL"
"HABILIDADES E ATITUDES EM AGRONOMIA I","AGROS0074.4","TURMA 01","CAMPUS DO SERTÃO","6 - 16:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 10","2023","1","23/06/2023","08/03/2024","FABIANO BRANCO ROCHA, CAMILA SANTOS ALMEIDA PEREIRA","6T45","28","20","10","REGULAR","14/03/2024","CONSOLIDADA","PRESENCIAL"
"HABILIDADES E ATITUDES EM AGRONOMIA I","AGROS0074.4","TURMA 02","CAMPUS DO SERTÃO","6 - 16:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 09","2023","1","23/06/2023","08/03/2024","LUCAS RESMINI SARTOR, NILSON RODRIGUES DA SILVA","6T45","5","20","10","REGULAR","13/03/2024","CONSOLIDADA","PRESENCIAL"
"HABILIDADES E ATITUDES EM AGRONOMIA I","AGROS0074.4","TURMA 03","CAMPUS DO SERTÃO","6 - 16:00h-18:00h CAMPUSSER/SEDE GLÓRIA - SALA 06","2023","1","23/06/2023","08/03/2024","TIAGO BARRETO GARCEZ","6T45","6","20","10","REGULAR","14/03/2024","CONSOLIDADA","PRESENCIAL"
"GESTAO E EXTENSÃO","AGROS0075.3","TURMA 01","CAMPUS DO SERTÃO","3 - 08:00h-12:00h Local a definir<br/>4 - 07:00h-09:00h Local a definir<br/>4 - 09:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 13<br/>5 - 07:00h-10:00h CAMPUSSER/SEDE GLÓRIA - SALA 13","2023","1","22/06/2023","09/08/2023","THIAGO LIMOEIRO RICARTE","3M2345 4M12345 5M123","12","20","7","REGULAR","18/09/2023","CONSOLIDADA","PRESENCIAL"
"GESTAO E EXTENSÃO","AGROS0075.3","TURMA 02","CAMPUS DO SERTÃO","3 - 08:00h-12:00h Local a definir<br/>4 - 07:00h-09:00h Local a definir<br/>4 - 09:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 17<br/>5 - 07:00h-10:00h CAMPUSSER/SEDE GLÓRIA - SALA 17","2023","1","22/06/2023","09/08/2023","TIAGO BARRETO GARCEZ, FLAVIO MARQUES CASTANHO BARRERO","3M2345 4M12345 5M123","3","20","8","REGULAR","06/12/2023","CONSOLIDADA","PRESENCIAL"
"PRÁTICAS CULTURAIS COMPLEMENTARES","AGROS0075.1","TURMA 01","CAMPUS DO SERTÃO","3 - 08:00h-12:00h Local a definir<br/>4 - 07:00h-09:00h Local a definir<br/>4 - 09:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 09<br/>5 - 07:00h-10:00h CAMPUSSER/SEDE GLÓRIA - SALA 09","2023","1","10/08/2023","27/09/2023","JOSE JAIRO FLORENTINO CORDEIRO JUNIOR","3M2345 4M12345 5M123","13","20","8","REGULAR","11/03/2024","CONSOLIDADA","PRESENCIAL"
"PRÁTICAS CULTURAIS COMPLEMENTARES","AGROS0075.1","TURMA 02","CAMPUS DO SERTÃO","3 - 08:00h-12:00h Local a definir<br/>4 - 07:00h-09:00h Local a definir<br/>4 - 09:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 15<br/>5 - 07:00h-10:00h CAMPUSSER/SEDE GLÓRIA - SALA 15","2023","1","10/08/2023","27/09/2023","MARCOS ERIC BARBOSA BRITO","3M2345 4M12345 5M123","3","20","9","REGULAR","09/03/2024","CONSOLIDADA","PRESENCIAL"
"CONSERVAÇÃO DO SOLO","AGROS0075.2","TURMA 01","CAMPUS DO SERTÃO","3 - 08:00h-12:00h Local a definir<br/>4 - 07:00h-09:00h Local a definir<br/>4 - 09:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 17<br/>5 - 07:00h-10:00h CAMPUSSER/SEDE GLÓRIA - SALA 17","2023","1","28/09/2023","15/11/2023","LUCAS RESMINI SARTOR","3M2345 4M12345 5M123","11","20","10","REGULAR","06/03/2024","CONSOLIDADA","PRESENCIAL"
"CONSERVAÇÃO DO SOLO","AGROS0075.2","TURMA 02","CAMPUS DO SERTÃO","3 - 08:00h-12:00h Local a definir<br/>4 - 07:00h-09:00h Local a definir<br/>4 - 09:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 13<br/>5 - 07:00h-10:00h CAMPUSSER/SEDE GLÓRIA - SALA 13","2023","1","28/09/2023","15/11/2023","TIAGO BARRETO GARCEZ","3M2345 4M12345 5M123","7","20","9","REGULAR","25/01/2024","CONSOLIDADA","PRESENCIAL"
"SISTEMAS AGRÍCOLAS I","AGROS0075.4","TURMA 01","CAMPUS DO SERTÃO","3 - 08:00h-12:00h Local a definir<br/>4 - 07:00h-09:00h Local a definir<br/>4 - 09:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 17<br/>5 - 07:00h-10:00h CAMPUSSER/SEDE GLÓRIA - SALA 17","2023","1","16/11/2023","17/01/2024","GUSTAVO HUGO FERREIRA DE OLIVEIRA","3M2345 4M12345 5M123","4","20","12","REGULAR","26/02/2024","CONSOLIDADA","PRESENCIAL"
"SISTEMAS AGRÍCOLAS I","AGROS0075.4","TURMA 02","CAMPUS DO SERTÃO","3 - 08:00h-12:00h Local a definir<br/>4 - 07:00h-09:00h Local a definir<br/>4 - 09:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 19<br/>5 - 07:00h-10:00h CAMPUSSER/SEDE GLÓRIA - SALA 19","2023","1","16/11/2023","17/01/2024","THIAGO MATOS ANDRADE","3M2345 4M12345 5M123","20","20","12","REGULAR","11/03/2024","CONSOLIDADA","PRESENCIAL"
"ÁGUA NA AGRICULTURA","AGROS0075.0","TURMA 01","CAMPUS DO SERTÃO","3 - 08:00h-12:00h Local a definir<br/>4 - 07:00h-09:00h Local a definir<br/>4 - 09:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 09<br/>5 - 07:00h-10:00h CAMPUSSER/SEDE GLÓRIA - SALA 09","2023","1","18/01/2024","06/03/2024","MARCOS ERIC BARBOSA BRITO","3M2345 4M12345 5M123","18","20","11","REGULAR","08/03/2024","CONSOLIDADA","PRESENCIAL"
"ÁGUA NA AGRICULTURA","AGROS0075.0","TURMA 02","CAMPUS DO SERTÃO","3 - 08:00h-12:00h Local a definir<br/>4 - 07:00h-09:00h Local a definir<br/>4 - 09:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 10<br/>5 - 07:00h-10:00h CAMPUSSER/SEDE GLÓRIA - SALA 12","2023","1","18/01/2024","06/03/2024","JOSE JAIRO FLORENTINO CORDEIRO JUNIOR","3M2345 4M12345 5M123","2","20","10","REGULAR","13/03/2024","CONSOLIDADA","PRESENCIAL"
"HABILIDADES E ATITUDES EM AGRONOMIA II","AGROS0075.5","TURMA 01","CAMPUS DO SERTÃO","5 - 10:00h-12:00h CAMPUSSER/SEDE GLÓRIA - SALA 05","2023","1","22/06/2023","07/03/2024","GUSTAVO HUGO FERREIRA DE OLIVEIRA","5M45","3","20","10","REGULAR","14/03/2024","CONSOLIDADA","PRESENCIAL"
